9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00
9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00
9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00
9.040000000000000924e+00,7.760000000000000675e+00,6.399999999999999467e+00,5.039999999999999147e+00,3.759999999999999343e+00,4.719999999999999751e+00,4.720000000000000639e+00,4.719999999999999751e+00,4.719999999999999751e+00,4.720000000000000639e+00
4.719999999999999751e+00,4.720000000000000639e+00,4.719999999999999751e+00,4.719999999999999751e+00,4.720000000000000639e+00,4.719999999999999751e+00,6.000000000000000000e+00,7.359999999999999432e+00,8.720000000000000639e+00,1.000000000000000000e+01
9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00
9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00
9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00,9.040000000000000924e+00
9.040000000000000924e+00,7.760000000000000675e+00,6.399999999999999467e+00,5.039999999999999147e+00,3.759999999999999343e+00,4.719999999999999751e+00,4.720000000000000639e+00,4.719999999999999751e+00,4.719999999999999751e+00,4.720000000000000639e+00
4.719999999999999751e+00,4.720000000000000639e+00,4.719999999999999751e+00,4.719999999999999751e+00,4.720000000000000639e+00,4.719999999999999751e+00,6.000000000000000000e+00,7.359999999999999432e+00,8.720000000000000639e+00,1.000000000000000000e+01
